Date,Open,High,Low,Close,Adj Close,Volume,Name
2010-01-01 00:00:00,4.840000153,5.960000038,4.46999979,5.309999943,5.005957127,262480900,AAL
2011-01-01 00:00:00,10.10999966,11.56000042,9.670000076,9.920000076,9.351993561,137974100,AAL
2012-01-01 00:00:00,5.199999809,8.789999962,4.96999979,8.43999958,7.956736565,185238100,AAL
2013-01-01 00:00:00,13.72000027,15.64000034,13.60000038,14.27999973,13.46234798,148165800,AAL
2014-01-01 00:00:00,25.06999969,34.20000076,25.05999947,33.54999924,31.62897682,290291800,AAL
2015-01-01 00:00:00,54.27999878,56.20000076,48.09999847,49.08000183,46.50345993,276810300,AAL
2016-01-01 00:00:00,41.29000092,42.74000168,36.20000076,38.99000168,37.26063156,237116300,AAL
2017-01-01 00:00:00,47.27999878,50,43.74000168,44.25,42.76024246,147225500,AAL
2018-01-01 00:00:00,52.33000183,59.08000183,51.90000153,54.31999969,52.94386292,121867900,AAL
2019-01-01 00:00:00,31.45999908,37.08000183,28.80999947,35.77000046,35.20080566,212732200,AAL
2020-01-01 00:00:00,28.97999954,29.29999924,25.37000084,26.84000015,26.74117851,226705600,AAL
2010-01-01 00:00:00,36.65999985,37.81000137,35.61999893,35.81999969,22.2215519,19152400,PNW
2010-01-28 00:00:00,,,,,,,PNW
2011-01-01 00:00:00,41.56000137,42.25999832,40.70999908,40.70999908,26.66711426,17810900,PNW
2011-01-28 00:00:00,,,,,,,PNW
2012-01-01 00:00:00,48.86000061,48.86000061,47,47.25999832,32.48596954,18867100,PNW
2012-01-30 00:00:00,,,,,,,PNW
2013-01-01 00:00:00,51.72000122,53.61999893,51.5,53.38000107,38.26411057,16183300,PNW
2013-01-30 00:00:00,,,,,,,PNW
2014-01-01 00:00:00,53,53.81000137,51.36999893,52.63000107,39.20132446,17484900,PNW
2014-01-30 00:00:00,,,,,,,PNW
2015-01-01 00:00:00,68.58000183,73.30999756,67.69000244,70.18000031,54.48128128,18809400,PNW
2015-01-29 00:00:00,,,,,,,PNW
2016-01-01 00:00:00,64.30999756,66.48999786,62.50999832,66.30999756,53.43625641,16920300,PNW
2016-01-28 00:00:00,,,,,,,PNW
2017-01-01 00:00:00,77.98999786,78.80000305,75.79000092,77.62999725,64.80440521,11572100,PNW
2017-01-30 00:00:00,,,,,,,PNW
2018-01-01 00:00:00,85.30000305,85.55000305,78.30999756,79.94999695,68.88806152,15381300,PNW
2018-01-31 00:00:00,,,,,,,PNW
2019-01-01 00:00:00,85.05000305,88.41999817,81.62999725,88.12000275,78.62499237,27850100,PNW
2019-01-31 00:00:00,,,,,,,PNW
2020-01-01 00:00:00,90.12999725,98.80999756,88.09999847,97.69000244,90.06332397,19762000,PNW
2020-01-31 00:00:00,,,,,,,PNW
2021-01-01 00:00:00,80,80.75,74.73000336,75.25,72.04148102,17502800,PNW
2010-01-01 00:00:00,26.0003624,27.24784279,25.37662125,25.40061188,19.29461098,259719884,ABT
2010-01-13 00:00:00,,,,,,,ABT
2011-01-01 00:00:00,23.16954231,23.42383575,21.62458611,21.66776848,17.01413536,493169030,ABT
2011-01-12 00:00:00,,,,,,,ABT
2012-01-01 00:00:00,27.14708328,27.27183151,25.89000893,25.98117065,21.16776466,311849313,ABT
